image,psnr_rgb,ssim_rgb,psnr_y,ssim_y
0851.png,26.76345777281746,0.8451534845523629,28.173563467994228,0.8657634700954517
0852.png,28.962595323819404,0.8024317538690812,30.019773076977145,0.8027204583763964
0853.png,30.888364094667846,0.9027975998569394,32.67496782232993,0.9240821858464843
0854.png,23.40353970293836,0.6846735397865498,24.683270954552977,0.7029067783959075
0855.png,28.039814237155056,0.7193511334108358,29.356340927604002,0.7525605097583732
0856.png,23.2045596124305,0.644517867553092,26.407723055686915,0.6788145426898495
0857.png,33.990092002365756,0.78762623075718,35.40555355221977,0.8275461108487445
0858.png,27.02400966032258,0.7383220751235897,28.22620819017655,0.7543248791473134
0859.png,24.07240189994297,0.6280243767480668,25.32052680763325,0.6536457534495838
0860.png,19.680550334797676,0.5575863194029158,21.029526315646436,0.5703706858982042
0861.png,21.18937307099142,0.6455880713071851,22.390780891849165,0.6631919489537988
0862.png,32.41528649600929,0.8093046766098083,33.75115201099037,0.8369241896840875
0863.png,32.06599831977803,0.8890841474489797,33.38988477860025,0.9034494696251736
0864.png,28.660050242738983,0.7446855204227235,29.89059749996023,0.7659917027182285
0865.png,26.330824702321067,0.7298864696997241,27.680505714141542,0.7501949349270421
0866.png,24.329796461593162,0.770506640635959,25.76451825352485,0.7842324740111938
0867.png,26.120109214135077,0.7805675537697557,27.144689340404156,0.7871578111826097
0868.png,29.572389866725253,0.9380931629331336,30.896105105320608,0.941048608914928
0869.png,22.762526462609543,0.7561546694829898,24.087010855344445,0.7657805884665849
0870.png,26.959135410820764,0.8056463569317337,28.253833309352046,0.8210229678041229
0871.png,29.41946777274581,0.8568593851211209,30.935978873331567,0.8703411563362634
0872.png,22.452147743698863,0.6272962397312054,23.68829325707454,0.6529713480767182
0873.png,22.69381045381308,0.6651828513201431,23.997199106455547,0.6813545778837403
0874.png,28.181971300786095,0.7348906543204133,29.5747902087236,0.763973959744664
0875.png,22.424765279846135,0.5644966583493257,23.667923474747266,0.5900349851675253
0876.png,21.430909574010567,0.5123531445472929,22.536001476091766,0.5366068402680096
0877.png,35.43539568400951,0.9408351483415115,36.86308980366895,0.9498233860636476
0878.png,28.83340170584121,0.8459585773717088,30.298861479628947,0.8618098843065297
0879.png,25.433142988073257,0.8116683411697517,26.7515752674352,0.8304165342968077
0880.png,30.568994135012698,0.8798007659109258,31.890704135862915,0.8887973157093355
0881.png,24.986207901821686,0.7450329985194477,26.379378542568684,0.7615791021647808
0882.png,31.36336085120842,0.9324048731353689,32.81200889351505,0.9476293795364941
0883.png,24.916386391076614,0.6864315589235543,26.666317642224225,0.7187863273540842
0884.png,24.116323579530594,0.6639412710835589,25.926591001631603,0.69817411036421
0885.png,21.86240636084659,0.5229785746572339,23.2352536515728,0.5427136005837414
0886.png,33.34396414224389,0.9050407823581343,35.28424830171274,0.9231282307880307
0887.png,23.89445890043504,0.7260858359014787,24.812253637540746,0.7196714054258603
0888.png,27.55276884709329,0.8346482567329215,29.04222416458242,0.8512984563828396
0889.png,27.227796284812786,0.8500141443650797,28.78692369630928,0.864708110186076
0890.png,24.60229980954604,0.7114298797994213,25.89557637148515,0.7213594332693574
0891.png,23.80221667014649,0.7150732908431955,25.10086204642424,0.7342842171004349
0892.png,25.31848001010525,0.8035097948083854,26.56444137698721,0.8135678336682337
0893.png,30.974303583978532,0.7960898077257473,32.50123585919658,0.8313387872523581
0894.png,29.351634624221536,0.8534753285108937,30.72627156473443,0.8685330595130973
0895.png,19.70056452725355,0.5141687497925723,21.03281794395577,0.532672680317209
0896.png,33.545659945380066,0.9252050135013453,34.89161506165891,0.9429393995018789
0897.png,20.902443979833336,0.6391610142744005,21.988101606524793,0.672718283986747
0898.png,31.594874793384964,0.888073527985015,33.055256309088094,0.9096462819718477
0899.png,26.264111689478682,0.8265558432971272,27.520352148910163,0.8425468040924374
0900.png,24.16458217929221,0.7748066083701284,25.212476855128468,0.7881083438205296
