image,psnr_rgb,ssim_rgb,psnr_y,ssim_y
0851.png,30.257720966395716,0.8927308497044987,32.25086722913553,0.935939971704773
0852.png,31.626413258936275,0.8951529982041828,33.21630249359065,0.9122506298246781
0853.png,34.65313738693229,0.9448433192240667,37.94775328687646,0.9694063759015863
0854.png,26.856832993496823,0.8485875239702039,28.290940764863,0.8643105827534072
0855.png,31.745854430515486,0.8433032910889425,33.1922691208508,0.8682916432938642
0856.png,25.584001566397234,0.8061611269496014,30.428690656182336,0.8856897037982361
0857.png,35.07264882292183,0.8131611176830525,36.74914271429396,0.8501097088802386
0858.png,30.519013206917354,0.8838947602550915,32.21177164521975,0.9097599027262009
0859.png,27.96384814094408,0.8449060289256721,29.432783885877285,0.8636025979918541
0860.png,23.147921527442968,0.8328175055116228,24.61555062040636,0.8429146526296112
0861.png,24.667517152069124,0.836751124763038,26.00062217710827,0.8547172683526822
0862.png,34.79760138653781,0.8822636904332488,36.518182637380306,0.9051987999147364
0863.png,35.159088320005225,0.9391192699039165,36.77990689875409,0.952087569932932
0864.png,32.94948935323226,0.9113551295942878,34.320598722941526,0.9211054875687744
0865.png,29.390888954528865,0.8715503189084522,30.86388101964253,0.8852917624021316
0866.png,27.50989684297886,0.9074452374800721,29.155668043439857,0.9193274734839082
0867.png,30.526960465644237,0.9133290519093605,32.23566090844065,0.9331297154093117
0868.png,33.74127599261402,0.9633574809654212,35.35075809296718,0.9725708423060769
0869.png,25.867243339741005,0.9003477759703928,27.286636749014953,0.908708409488327
0870.png,32.07984255728527,0.9403698089304564,34.069389977367166,0.9550667755009427
0871.png,33.805252655024454,0.9453687574839731,35.988991774581905,0.9584218299680993
0872.png,26.053152222817587,0.8511241493497664,27.551620089162515,0.8698351616268778
0873.png,26.00666081447546,0.8469243676316895,27.533715040424184,0.8645220284067109
0874.png,32.20319413453677,0.8930315330779202,33.765921067295906,0.9092924640536607
0875.png,26.478225649608564,0.8292990632379532,27.895116446090633,0.8463196831096476
0876.png,24.111985503521964,0.7695740734118687,25.34357065646208,0.7868274515412108
0877.png,39.74293892340852,0.9714877748215359,41.90623583393591,0.980658374481875
0878.png,33.89847593227125,0.947209499816108,35.675963359972435,0.9570186509069702
0879.png,29.369555723922943,0.915206729966671,30.942304574973537,0.9327623497009354
0880.png,35.2427472092787,0.9542153783071344,36.9073368849209,0.9616788694606305
0881.png,28.3629582174169,0.8836425403704532,29.866223832595157,0.895753471310972
0882.png,34.95430787190757,0.9571038392157861,37.20989455335112,0.9732531981477286
0883.png,30.084805386014672,0.9013203165021891,33.29795767647371,0.9388974823953129
0884.png,27.868473673374794,0.865415439443535,30.180724075369156,0.8911576499104787
0885.png,24.927282406634724,0.7863463369543929,26.636007150557433,0.8179493742251627
0886.png,36.920440864384226,0.9346675265752742,39.95699795285954,0.9544187777996376
0887.png,27.397762869499157,0.8569528799265109,28.552252501502426,0.8747094569733007
0888.png,31.547651830772317,0.9228808858268618,33.41420510674205,0.9382850761337966
0889.png,32.58073207352801,0.9518163698112186,35.022524146842954,0.9656705877179804
0890.png,26.95492072564383,0.8413950821872492,28.380862938018517,0.8531870335238906
0891.png,27.436073514123663,0.8619977105105815,29.032950916633304,0.8864192611177957
0892.png,30.619638151590294,0.9324195622270208,32.22626858072846,0.9442125987866193
0893.png,34.01319397826362,0.8678691094688844,35.778534034052804,0.8956911345893138
0894.png,33.3194431159138,0.9431293213744391,35.1641361360701,0.9547652541763976
0895.png,22.853905865671287,0.7965569213017023,24.3292127713241,0.8114937100944877
0896.png,38.20190402210319,0.9455816483650378,40.214960024989885,0.9656026966904185
0897.png,24.50459837474491,0.8496895094028901,25.900640890809484,0.8751010787633825
0898.png,34.767595865560494,0.9234201133688898,38.07957389679875,0.9496289530315652
0899.png,29.530599545258337,0.9083683034290063,31.005210151064496,0.9248971343146825
0900.png,28.998227508251947,0.8906603478674162,30.73293656254361,0.924720494538442
