image,psnr_rgb,ssim_rgb,psnr_y,ssim_y
0851.png,31.16612911999015,0.9282495187996759,32.472766187370084,0.9392223835670073
0852.png,32.73859652658734,0.9217185508492639,33.70817112879522,0.9231355372878661
0853.png,37.280213097114824,0.9697921169817153,38.85692693982747,0.9760640588025551
0854.png,26.898628906631636,0.8510432982150421,28.184957394831713,0.8602173859804069
0855.png,31.85092724934392,0.8455701128078913,33.163362131666865,0.8670223268001638
0856.png,28.016440574891398,0.8841091450783448,30.748283594164416,0.8868959243587236
0857.png,35.530210612825584,0.8195573289108663,36.86543269560101,0.852251056211443
0858.png,31.166272274224728,0.9038789883123748,32.38897692101125,0.9152351545143131
0859.png,28.119636300322533,0.8478745832211869,29.39714910197931,0.8594728992743327
0860.png,23.26621359255777,0.8330731486823337,24.58944095368116,0.8361555033238344
0861.png,24.654150162753123,0.8402208047047196,25.86638862322118,0.8518041106695879
0862.png,35.27694161996549,0.888333521045764,36.587929692145366,0.9056617521815409
0863.png,35.62870324684758,0.9472111523850512,36.941245241147875,0.9538054019842191
0864.png,32.76500597805537,0.9051633946276954,34.00158834254293,0.9132066650965144
0865.png,29.346703292798416,0.8686685320608373,30.6835264096785,0.8782332791368646
0866.png,27.844846085354547,0.9129002809242118,29.216250491977185,0.917627054528751
0867.png,31.08798042491818,0.9244304476669966,32.1326413930609,0.9315512661249629
0868.png,34.21607315386591,0.9750433843393503,35.487678460652646,0.9766376918128271
0869.png,25.950599388985445,0.9014808448712462,27.2684050777556,0.9053781262279477
0870.png,32.678406539004044,0.9483959492061708,34.07186217387254,0.9548697302130281
0871.png,34.56314681703497,0.9535404137126381,36.029371808236874,0.9587993813470962
0872.png,26.33233710293766,0.8547288955218297,27.596392742843705,0.8672072854022534
0873.png,26.058085456809454,0.8483319127146481,27.343908856953007,0.8572332340927337
0874.png,32.18550152017197,0.8920737837227963,33.56815386374028,0.9040592008542079
0875.png,26.35420951729026,0.8220621701464331,27.611343684525647,0.8337542520735212
0876.png,24.236167155814726,0.7675161269722627,25.35905913905992,0.7831155536592176
0877.png,41.220370398133255,0.9799681402986348,42.581350771134254,0.9844234403844134
0878.png,34.17232686267339,0.9510200084397327,35.647325777719765,0.9569003435951144
0879.png,29.405000483770507,0.9218326640072078,30.71880132883885,0.9305015987111053
0880.png,35.54865784717192,0.9580305166680411,36.886692580106114,0.9618308884156539
0881.png,28.287277527435673,0.8814209257165343,29.665517574280443,0.8885711227892858
0882.png,36.042646378743605,0.9700158596833944,37.45797291055895,0.9758453607474266
0883.png,31.162248723881557,0.9223728300533137,33.20978756512862,0.9385353591333704
0884.png,27.9422653889868,0.8628886301411262,29.90109543471581,0.8806223278317732
0885.png,25.107527725153,0.7796168742604775,26.437521838412017,0.7995666769141563
0886.png,38.87466779779985,0.9454305202282836,40.54573979964873,0.9565801577063892
0887.png,27.717218579245227,0.8746509633119666,28.591676709664995,0.8804346725816394
0888.png,32.25159404505069,0.9337565422143758,33.63031486713024,0.9413251086431969
0889.png,33.942103179485564,0.9636385797616939,35.40381459889842,0.9679066822738696
0890.png,27.06927395987451,0.8446684057162027,28.31392298629809,0.848729199841906
0891.png,27.612399210944496,0.87238851874038,28.829315830007857,0.8837306208576583
0892.png,30.84844625076459,0.9377399375673189,32.01616447154112,0.9427218335337285
0893.png,34.453390805259964,0.8728323910927408,35.85650938969268,0.8958482311542896
0894.png,33.84583054472066,0.950259471242583,35.159394666682104,0.9552120231046879
0895.png,23.015978273095033,0.7989377735744494,24.323368150620137,0.8050149403687703
0896.png,39.489991024961704,0.9600061361386012,40.86155723051402,0.9695557209169049
0897.png,24.85052235940357,0.8590114119719923,26.01827314914818,0.8780136124865136
0898.png,37.29688527790617,0.9427227116277764,38.69347117141247,0.9552672641069411
0899.png,30.210448832432903,0.9226579508961122,31.433351106677577,0.9336899753422901
0900.png,29.35899097359433,0.9119557990019657,30.494269829050047,0.923684607915134
