image,psnr_rgb,ssim_rgb,psnr_y,ssim_y
0851.png,30.12892397240812,0.9010952896003643,32.17896928683085,0.9344972494475589
0852.png,31.524921402196608,0.8761482938823866,33.13087242556617,0.9077558821982463
0853.png,34.193501683789684,0.9426210778792381,37.678408273057244,0.96945541632109
0854.png,26.664896254775105,0.8444963099006632,28.229167031080564,0.8617762197102531
0855.png,31.458951208977027,0.8382862523183802,33.0961254046042,0.8657905058699151
0856.png,25.769845910281582,0.8146252813627303,30.39393572802073,0.8841123284001519
0857.png,34.693781184467056,0.8119606184214848,36.533481655958546,0.8485509200550265
0858.png,30.23776401876013,0.8751739665858099,32.112683118991214,0.9088472603079879
0859.png,27.795023578942168,0.8403364387896864,29.415754206085836,0.8614390566739942
0860.png,23.010784504633634,0.8283365983326377,24.580295607537572,0.8439648185510344
0861.png,24.493432141953644,0.8253330991767008,25.87906463895881,0.846883875566458
0862.png,34.28452239618023,0.8823452934192432,36.238284312708984,0.9046990565388077
0863.png,34.396921015730285,0.941952291209622,36.32350047356333,0.9533201172250924
0864.png,32.79571898004869,0.9080812493682062,34.31291730032755,0.9202043965868799
0865.png,29.16897502622938,0.867647149713176,30.783229643216675,0.8829694435194292
0866.png,27.320772183649552,0.9062505959782996,29.107771257430457,0.9201275734858536
0867.png,30.25044721150023,0.9112030862075496,32.08547504172089,0.9314206590872858
0868.png,32.82827138403325,0.9720216704397554,34.79874662531256,0.9758224894890479
0869.png,25.68334671791559,0.8985373870294531,27.21585137837701,0.9084374826738036
0870.png,31.729333923522635,0.9386561499796517,33.964166849348764,0.9567048612058545
0871.png,33.38246067763356,0.9444462962337039,35.86320917113221,0.9578941279566926
0872.png,25.945482835521368,0.8474562337687576,27.56714972019756,0.8695124508092957
0873.png,25.881258254252252,0.8433538532331483,27.47254273777672,0.8612339899167027
0874.png,31.8277410594282,0.8882394922841517,33.629809401604646,0.9067605010183941
0875.png,26.23381274696586,0.8180004636257934,27.795736809303207,0.8415388399478533
0876.png,24.00640304048744,0.7556919252946428,25.2907777212786,0.781494253581948
0877.png,39.557229856110055,0.9717078168060173,41.79707559462325,0.9818983831952873
0878.png,33.463846216559425,0.9464579537162082,35.57627235740093,0.9567174496442318
0879.png,29.172995100041938,0.9145388244664566,30.87908861192104,0.9323274153798451
0880.png,34.90371323824853,0.9553428756460542,36.827347187336876,0.9623431617843203
0881.png,28.147713822892975,0.8817628950640398,29.80368405261479,0.894529881137723
0882.png,33.76686681339926,0.9549412035874018,36.47506158468222,0.9718138008900369
0883.png,30.091092186995287,0.903851058009956,33.56807591576436,0.9430774199103451
0884.png,27.7105635152853,0.8590743258977321,30.175098079833596,0.8898996823285411
0885.png,24.866856446900137,0.7824456999882686,26.572201594811354,0.8134749907217427
0886.png,36.131668294003546,0.9304850937427044,39.309842798385034,0.9535681901174362
0887.png,27.28289594206991,0.8586517224339434,28.534038479349334,0.8761831906665178
0888.png,30.99284020036144,0.9193906490152427,33.23242518696527,0.9365881397081676
0889.png,31.941665974776015,0.9477375372415863,34.535815510698754,0.9649181500980581
0890.png,26.820741226230503,0.8398812934141393,28.306365289149724,0.8517620544977305
0891.png,27.236222220079537,0.855790362818501,28.94589564306987,0.8818872742735876
0892.png,30.050874913459875,0.9282194389801636,32.056889107993214,0.9411388962055821
0893.png,33.72827005620434,0.8640951860908115,35.56572699148453,0.8931460918397933
0894.png,32.51662216786028,0.9410223074071649,34.63638811177904,0.9538674707749975
0895.png,22.75108675053605,0.7908784475797502,24.329341175993093,0.8115546232447738
0896.png,36.17154399570471,0.9518145937898471,39.130732086137435,0.9670682002861566
0897.png,24.330410927307057,0.8420972195428936,25.869424618087148,0.8746261460586013
0898.png,34.677961958082705,0.9261296790089458,38.04232934926905,0.95075771482461
0899.png,29.45171703796529,0.9081985946841975,31.164579821319247,0.9283240023516048
0900.png,28.648032366066936,0.8790080391998311,30.463655094453358,0.919723422633523
