class,num_images,edge_density_mean,edge_density_median,edge_density_max,edge_density_min
agricultural_agricultural,100,0.209056396484375,0.22052764892578125,0.400604248046875,0.0
airplane_airplane,100,0.0816925048828125,0.07818603515625,0.170654296875,0.0197601318359375
baseballdiamond_baseballdiamond,100,0.047725067138671876,0.04424285888671875,0.1208343505859375,0.0045318603515625
beach_beach,100,0.04050521850585938,0.02593994140625,0.17840576171875,0.00018310546875
buildings_buildings,100,0.12338180541992187,0.118377685546875,0.259521484375,0.0370025634765625
chaparral_chaparral,100,0.23031143188476563,0.21772003173828125,0.3760986328125,0.1247100830078125
denseresidential_denseresidential,100,0.15101669311523438,0.14739227294921875,0.2470245361328125,0.0820465087890625
forest_forest,100,0.20382843017578126,0.21094512939453125,0.348358154296875,0.0
freeway_freeway,100,0.11167694091796875,0.10529327392578125,0.2396240234375,0.0326690673828125
golfcourse_golfcourse,100,0.05687789916992188,0.05077362060546875,0.161468505859375,0.0009613037109375
harbor_harbor,100,0.1453607177734375,0.14476776123046875,0.2115936279296875,0.0557098388671875
intersection_intersection,100,0.13061065673828126,0.12937164306640625,0.22979736328125,0.0474090576171875
mediumresidential_mediumresidential,100,0.16891372680664063,0.16902923583984375,0.2519989013671875,0.06207275390625
mobilehomepark_mobilehomepark,100,0.17250885009765626,0.15529632568359375,0.287872314453125,0.1155548095703125
overpass_overpass,100,0.1102655029296875,0.1076507568359375,0.1922454833984375,0.0494842529296875
parkinglot_parkinglot,100,0.16938888549804687,0.1680755615234375,0.2193145751953125,0.1005706787109375
river_river,100,0.1464112854003906,0.14510345458984375,0.3255767822265625,0.015838623046875
runway_runway,100,0.06895095825195313,0.0690765380859375,0.1516876220703125,0.0213623046875
sparseresidential_sparseresidential,100,0.14171432495117187,0.1565093994140625,0.2688446044921875,0.017822265625
storagetanks_storagetanks,100,0.09796340942382813,0.10155487060546875,0.2141265869140625,0.003936767578125
tenniscourt_tenniscourt,100,0.1225555419921875,0.117919921875,0.226959228515625,0.0120086669921875
