image,rgb_psnr,rgb_ssim,y_psnr,y_ssim
bsds_0001.png,29.596585524382533,0.7876480949095918,31.432250720225518,0.8146274061382112
bsds_0002.png,21.592231171022377,0.6148773822787788,23.023004065043583,0.6340102557348581
bsds_0003.png,27.811325373177294,0.6875177483502659,29.215294867561745,0.7150490208632146
bsds_0004.png,33.258039816799474,0.8760181897951979,34.75589101457372,0.8884751078569219
bsds_0005.png,20.81044742472866,0.6263613115145517,22.221287866723415,0.6442042894212964
bsds_0006.png,32.25227462659373,0.8698334356123268,33.64917958148943,0.8814786675017537
bsds_0007.png,26.91538098585971,0.7953223987033317,28.189445477301245,0.8145115319281793
bsds_0008.png,21.537756042993802,0.6516449208631331,22.78909825261099,0.6734038678672585
bsds_0009.png,21.460219123539872,0.5097530147724599,22.69981261985357,0.5225749023531089
bsds_0010.png,21.975307531098657,0.5440868635073751,23.440568117238332,0.5709402594259675
bsds_0011.png,25.826738143193854,0.7775370781742139,27.56224120463989,0.7918698516684035
bsds_0012.png,24.26303915104548,0.7682642707123198,25.44685480765518,0.7819096868608257
bsds_0013.png,20.195761644507254,0.5248010762249374,21.458557527700705,0.5460655600429353
bsds_0014.png,22.681758374057782,0.6863618050614685,24.05375293086451,0.7015704438861636
bsds_0015.png,32.43607464097815,0.8900642694609576,33.762522701560144,0.903227274080096
bsds_0016.png,28.638418550780386,0.8243351238820181,29.884209594049416,0.8381240525110751
bsds_0017.png,28.5947053767416,0.8271796233811468,29.817105513842638,0.8368812585391787
bsds_0018.png,25.090740211643528,0.7326640947417938,26.345905009608384,0.7447377335386836
bsds_0019.png,27.16831521373157,0.7199525939915032,28.465920493632332,0.7412349161010345
bsds_0020.png,26.984884510413416,0.7270323494128372,28.330810037679353,0.74960841543952
bsds_0021.png,30.519222542708654,0.7859093258201962,31.921618268272603,0.8111320912570653
bsds_0022.png,29.853674292331558,0.7120058046535632,31.079986398839324,0.7386922172696249
bsds_0023.png,24.448855459766605,0.6973496087284884,25.75544391456652,0.7108682859729666
bsds_0024.png,27.427730287821916,0.7276932816132331,28.74945927532432,0.7482736506355853
bsds_0025.png,31.80705636843428,0.8407232368838412,33.01178035399319,0.8558966795769437
bsds_0026.png,31.655242765214126,0.9160093708088569,32.865363105846306,0.9226237654333029
bsds_0027.png,25.106215585371643,0.7746541135763693,26.513565393549158,0.7915203537744149
bsds_0028.png,30.611365492003987,0.8686370306826922,31.966162868809384,0.8816493298128792
bsds_0029.png,32.64450816870608,0.8998218505455263,33.870671733707326,0.9120054819135631
bsds_0030.png,30.466337052388447,0.8920186485210868,31.69786360890292,0.8985756214253515
bsds_0031.png,27.516401210946665,0.7159098955804678,28.771302324357087,0.7361533592726247
bsds_0032.png,23.644759178226735,0.6502406204035349,24.86131939181213,0.6637288345502391
bsds_0033.png,24.589694112296886,0.5887295706535106,25.9304696579018,0.6156906780475667
bsds_0034.png,21.979580078260163,0.4325652340897042,23.226344484760403,0.4596731201998911
bsds_0035.png,24.09663681811715,0.7067770940956318,25.30423217253571,0.7211943489254413
