image,psnr,ssim
0851.png,30.257720966395716,0.8927308497044987
0852.png,31.626413258936275,0.8951529982041828
0853.png,34.65313738693229,0.9448433192240667
0854.png,26.856832993496823,0.8485875239702039
0855.png,31.745854430515486,0.8433032910889425
0856.png,25.584001566397234,0.8061611269496014
0857.png,35.07264882292183,0.8131611176830525
0858.png,30.519013206917354,0.8838947602550915
0859.png,27.96384814094408,0.8449060289256721
0860.png,23.147921527442968,0.8328175055116228
0861.png,24.667517152069124,0.836751124763038
0862.png,34.79760138653781,0.8822636904332488
0863.png,35.159088320005225,0.9391192699039165
0864.png,32.94948935323226,0.9113551295942878
0865.png,29.390888954528865,0.8715503189084522
0866.png,27.50989684297886,0.9074452374800721
0867.png,30.526960465644237,0.9133290519093605
0868.png,33.74127599261402,0.9633574809654212
0869.png,25.867243339741005,0.9003477759703928
0870.png,32.07984255728527,0.9403698089304564
0871.png,33.805252655024454,0.9453687574839731
0872.png,26.053152222817587,0.8511241493497664
0873.png,26.00666081447546,0.8469243676316895
0874.png,32.20319413453677,0.8930315330779202
0875.png,26.478225649608564,0.8292990632379532
0876.png,24.111985503521964,0.7695740734118687
0877.png,39.74293892340852,0.9714877748215359
0878.png,33.89847593227125,0.947209499816108
0879.png,29.369555723922943,0.915206729966671
0880.png,35.2427472092787,0.9542153783071344
0881.png,28.3629582174169,0.8836425403704532
0882.png,34.95430787190757,0.9571038392157861
0883.png,30.084805386014672,0.9013203165021891
0884.png,27.868473673374794,0.865415439443535
0885.png,24.927282406634724,0.7863463369543929
0886.png,36.920440864384226,0.9346675265752742
0887.png,27.397762869499157,0.8569528799265109
0888.png,31.547651830772317,0.9228808858268618
0889.png,32.58073207352801,0.9518163698112186
0890.png,26.95492072564383,0.8413950821872492
0891.png,27.436073514123663,0.8619977105105815
0892.png,30.619638151590294,0.9324195622270208
0893.png,34.01319397826362,0.8678691094688844
0894.png,33.3194431159138,0.9431293213744391
0895.png,22.853905865671287,0.7965569213017023
0896.png,38.20190402210319,0.9455816483650378
0897.png,24.50459837474491,0.8496895094028901
0898.png,34.767595865560494,0.9234201133688898
0899.png,29.530599545258337,0.9083683034290063
0900.png,28.998227508251947,0.8906603478674162
