Method,RGB PSNR,RGB SSIM,Gray PSNR,Gray SSIM,Y+crop PSNR,Y+crop SSIM
Bicubic x4,24.82,0.6872,24.82,0.6872,26.13,0.7053
RCAN x4 pretrained,25.17,0.7305,25.16,0.7305,26.45,0.7466
